ID,elev,lon,lat,mean_tavg,total_prec,temp_bin_label,precip_bin_label,LC1,LC1_perc,LC2,LC2_perc,LC3,LC3_perc,LC1_cci,LC1_perc_cci,LC2_cci,LC2_perc_cci,LC3_cci,LC3_perc_cci,TreeCat
ID0052,987,7.270833333333318,59.47083333333333,1.3041666,133.4,0 to 2,120 to 140,100,28.7,10,24.7,30,23.8,150,55.6,110,22.2,210,22.2,noTree
ID0053,970,7.137499999999985,60.4875,1.0291667,129.8,0 to 2,120 to 140,100,44.4,10,25.7,30,20.8,150,100.0,0,0.0,0,0.0,noTree
ID0054,706,6.962499999999984,61.02916666666667,2.475,144.9,2 to 4,140 to 160,100,47.1,10,28.4,30,23.0,150,44.4,100,33.3,70,22.2,noTree
ID0055,733,6.945833333333319,59.67083333333333,2.2291667,159.7,2 to 4,140 to 160,100,43.9,10,29.3,30,26.9,110,100.0,0,0.0,0,0.0,noTree
ID0056,480,7.145833333333318,61.5125,3.1958334,144.4,2 to 4,140 to 160,100,56.5,10,31.3,30,7.1,150,100.0,0,0.0,0,0.0,noTree
ID0057,1000,6.854166666666652,61.67083333333333,0.7458333,195.6,0 to 2,180 to 200,100,38.7,10,32.4,30,28.0,60,44.4,150,33.3,200,22.2,noTree
ID0058,851,6.770833333333318,59.7375,1.975,187.3,0 to 2,180 to 200,100,41.0,10,33.7,30,24.6,60,55.6,70,22.2,150,22.2,noTree
ID0059,1040,6.720833333333318,60.8375,1.0333333,192.3,0 to 2,180 to 200,100,58.0,10,20.0,30,15.0,150,66.7,200,33.3,0,0.0,noTree
ID0060,1008,7.587499999999984,61.02916666666667,0.325,105.4,0 to 2,100 to 120,100,61.5,10,13.0,30,12.8,150,66.7,200,22.2,60,11.1,noTree
ID0061,2201,11.720833333333331,47.0375,0.45416662,117.5,0 to 2,100 to 120,100,31.1,10,30.8,30,21.3,70,44.4,201,33.3,100,22.2,noTree
ID0062,1079,7.670833333333318,59.37083333333334,1.225,119.6,0 to 2,100 to 120,100,36.1,10,31.8,30,25.3,150,44.4,110,33.3,100,22.2,noTree
ID0063,780,6.712499999999984,60.80416666666667,2.2875,174.6,2 to 4,160 to 180,100,42.9,10,39.3,30,17.8,150,66.7,70,33.3,0,0.0,noTree
ID0064,715,6.987499999999985,61.47916666666666,2.2375,164.6,2 to 4,160 to 180,100,60.0,10,34.5,30,5.0,200,44.4,60,33.3,150,22.2,noTree
ID0065,270,7.020833333333318,61.74583333333333,4.2708335,154.4,4 to 6,140 to 160,100,44.7,10,21.0,30,16.1,150,66.7,200,33.3,0,0.0,noTree
ID0066,210,6.962499999999984,61.80416666666667,5.1541667,149.2,4 to 6,140 to 160,100,36.3,10,33.2,30,24.6,60,44.4,70,22.2,200,22.2,noTree
ID0067,682,6.704166666666652,61.454166666666666,2.5125,201.1,2 to 4,200 to 220,100,41.3,10,27.1,30,24.8,150,33.3,30,22.2,60,22.2,noTree
ID0068,640,6.545833333333318,61.65416666666667,3.3,210.2,2 to 4,200 to 220,100,41.7,10,32.2,30,23.4,150,55.6,110,33.3,60,11.1,noTree
ID0069,840,7.929166666666651,61.27916666666667,0.69166666,81.9,0 to 2,80 to 100,100,36.8,10,32.7,30,30.6,70,44.4,90,33.3,60,22.2,noTree
ID0070,2333,9.862499999999995,46.3125,0.18749997,85.5,0 to 2,80 to 100,100,41.5,10,29.2,60,20.6,150,44.4,70,44.4,200,11.1,noTree
ID0071,330,6.979166666666652,61.5625,4.170833,167.8,4 to 6,160 to 180,100,49.0,10,30.8,30,19.5,110,66.7,130,22.2,11,11.1,noTree
ID0072,1148,7.3291666666666515,61.60416666666666,-0.11250002,150.1,-2 to 0,140 to 160,100,49.8,10,25.4,30,24.7,60,100.0,0,0.0,0,0.0,noTree
